,RULE,BODY,HEAD,CONFIDENCE
72,"{'G82_Down', 'G72_Up'}",{'G72_Up'},{'G82_Down'},0.7837837837837838
73,"{'G82_Down', 'G72_Up'}",{'G82_Down'},{'G72_Up'},0.8529411764705882
74,"{'G1_Up', 'G72_Up'}",{'G72_Up'},{'G1_Up'},0.7027027027027027
75,"{'G1_Up', 'G72_Up'}",{'G1_Up'},{'G72_Up'},0.7536231884057971
76,"{'G47_Up', 'G28_Down'}",{'G28_Down'},{'G47_Up'},0.7183098591549296
77,"{'G47_Up', 'G28_Down'}",{'G47_Up'},{'G28_Down'},0.7727272727272727
78,"{'G38_Down', 'G10_Down'}",{'G10_Down'},{'G38_Down'},0.7571428571428571
79,"{'G38_Down', 'G10_Down'}",{'G38_Down'},{'G10_Down'},0.726027397260274
80,"{'G88_Down', 'G87_Up'}",{'G87_Up'},{'G88_Down'},0.8059701492537313
81,"{'G88_Down', 'G87_Up'}",{'G88_Down'},{'G87_Up'},0.7605633802816901
82,"{'G82_Down', 'G97_Down'}",{'G97_Down'},{'G82_Down'},0.8360655737704918
83,"{'G82_Down', 'G97_Down'}",{'G82_Down'},{'G97_Down'},0.75
84,"{'G59_Up', 'G28_Down'}",{'G28_Down'},{'G59_Up'},0.7183098591549296
85,"{'G47_Up', 'G10_Down'}",{'G10_Down'},{'G47_Up'},0.7285714285714285
86,"{'G47_Up', 'G10_Down'}",{'G47_Up'},{'G10_Down'},0.7727272727272727
87,"{'G59_Up', 'G1_Up'}",{'G1_Up'},{'G59_Up'},0.7681159420289855
88,"{'G32_Down', 'G72_Up'}",{'G32_Down'},{'G72_Up'},0.7352941176470589
89,"{'G38_Down', 'G70_Down'}",{'G70_Down'},{'G38_Down'},0.8181818181818182
90,"{'G38_Down', 'G70_Down'}",{'G38_Down'},{'G70_Down'},0.7397260273972602
91,"{'G1_Up', 'G10_Down'}",{'G10_Down'},{'G1_Up'},0.7142857142857143
92,"{'G1_Up', 'G10_Down'}",{'G1_Up'},{'G10_Down'},0.7246376811594203
93,"{'G59_Up', 'G32_Down'}",{'G32_Down'},{'G59_Up'},0.7647058823529411
94,"{'G32_Down', 'G28_Down'}",{'G28_Down'},{'G32_Down'},0.704225352112676
